,-37
0,-22
1,-17
2,-24
3,-31
4,-20
5,-5
6,14
7,31
8,31
9,20
10,2
11,0
12,2
13,12
14,23
15,20
16,18
17,17
18,34
19,43
20,47
21,30
22,5
23,-28
24,-27
25,-19
26,-24
27,-27
28,-35
29,-40
30,-42
31,-46
32,-41
33,-33
34,-14
35,3
36,8
37,-3
38,-10
39,-25
40,-38
41,-48
42,-55
43,-66
44,-85
45,-76
46,-60
47,-36
48,-19
49,-14
50,-7
51,-10
52,-10
53,-16
54,-13
55,1
56,22
57,29
58,17
59,7
60,-7
61,-6
62,8
63,37
64,58
65,61
66,51
67,28
68,8
69,4
70,14
71,19
72,37
73,63
74,81
75,86
76,76
77,57
78,29
79,22
80,35
81,59
82,68
83,60
84,40
85,15
86,-2
87,5
88,24
89,32
90,32
91,30
92,18
93,13
94,11
95,14
96,22
97,17
98,-15
99,-55
100,-79
101,-69
102,-24
103,16
104,59
105,84
106,88
107,88
108,87
109,71
110,40
111,14
112,3
113,16
114,28
115,26
116,10
117,-15
118,-15
119,-12
120,-6
121,3
122,11
123,26
124,21
125,18
126,17
127,23
128,20
129,10
130,-3
131,-14
132,-25
133,-13
134,-16
135,-24
136,-22
137,10
138,43
139,78
140,97
141,97
142,80
143,48
144,22
145,0
146,5
147,10
148,23
149,29
150,29
151,34
152,20
153,28
154,39
155,60
156,67
157,74
158,67
159,49
160,29
161,20
162,20
163,29
164,45
165,53
166,59
167,58
168,59
169,48
170,36
171,55
172,65
173,84
174,86
175,105
176,126
177,123
178,119
179,88
180,52
181,16
182,-19
183,-31
184,-41
185,-10
186,14
187,36
188,48
189,40
190,31
191,30
192,28
193,25
194,3
195,-20
196,-41
197,-71
198,-80
199,-88
200,-80
201,-58
202,-16
203,28
204,53
205,57
206,40
207,11
208,-31
209,-67
210,-82
211,-84
212,-64
213,-41
214,-24
215,-16
216,-1
217,18
218,22
219,16
220,18
221,12
222,-2
223,-20
224,-41
225,-63
226,-70
227,-67
228,-47
229,-35
230,-5
231,-1
232,7
233,4
234,21
235,32
236,31
237,34
238,23
239,16
240,6
241,3
242,-9
243,-13
244,-8
245,6
246,9
247,11
248,17
249,11
250,-2
251,-25
252,-47
253,-53
254,-41
255,1
256,27
257,43
258,52
259,45
260,24
261,12
262,5
263,10
264,17
265,18
266,9
267,-1
268,-10
269,4
270,21
271,40
272,52
273,59
274,63
275,80
276,81
277,76
278,57
279,42
280,29
281,1
282,-17
283,-37
284,-39
285,-39
286,-26
287,-17
288,-7
289,15
290,34
291,46
292,55
293,65
294,58
295,32
296,3
297,-19
298,-36
299,-34
300,-5
301,33
302,50
303,65
304,47
305,22
306,-2
307,-14
308,-9
309,10
310,36
311,52
312,50
313,42
314,46
315,56
316,73
317,92
318,98
319,91
320,83
321,85
322,82
323,83
324,77
325,70
326,64
327,53
328,48
329,30
330,25
331,13
332,0
333,-10
334,-5
335,10
336,-1
337,-24
338,-60
339,-79
340,-80
341,-67
342,-34
343,-11
344,15
345,31
346,36
347,26
348,21
349,12
350,-12
351,-16
352,-23
353,-13
354,1
355,25
356,41
357,49
358,50
359,57
360,64
361,57
362,54
363,47
364,44
365,46
366,42
367,33
368,15
369,23
370,45
371,57
372,70
373,79
374,75
375,79
376,83
377,83
378,75
379,54
380,33
381,7
382,7
383,25
384,65
385,105
386,136
387,153
388,137
389,123
390,115
391,117
392,101
393,75
394,48
395,15
396,6
397,13
398,26
399,34
400,47
401,60
402,74
403,83
404,93
405,97
406,90
407,83
408,61
409,33
410,-7
411,-27
412,-28
413,-18
414,11
415,27
416,31
417,27
418,23
419,13
420,6
421,2
422,-7
423,-24
424,-34
425,-47
426,-50
427,-43
428,-15
429,10
430,20
431,20
432,17
433,1
434,-15
435,-23
436,-30
437,-38
438,-50
439,-58
440,-74
441,-71
442,-55
443,-38
444,-40
445,-43
446,-55
447,-63
448,-58
449,-45
450,-35
451,-31
452,-36
453,-30
454,-36
455,-37
456,-29
457,-19
458,-13
459,0
460,14
461,14
462,25
463,33
464,38
465,38
466,37
467,43
468,35
469,22
470,12
471,6
472,1
473,-1
474,-12
475,-18
476,-16
477,3
478,26
479,32
480,34
481,29
482,34
483,40
484,59
485,70
486,86
487,91
488,59
489,3
490,-58
491,-94
492,-102
493,-69
494,-21
495,21
496,42
497,43
498,40
499,33
500,31
501,28
502,24
503,10
504,-5
505,1
506,5
507,35
508,56
509,73
510,76
511,73
512,67
513,50
514,37
515,26
516,11
517,1
518,0
519,4
520,2
521,8
522,20
523,37
524,42
525,50
526,52
527,39
528,33
529,20
530,2
531,-16
532,-26
533,-28
534,-21
535,-18
536,2
537,1
538,-14
539,-38
540,-60
541,-66
542,-60
543,-47
544,-40
545,-29
546,-7
547,8
548,18
549,18
550,22
551,1
552,-32
553,-58
554,-83
555,-83
556,-72
557,-53
558,-33
559,-11
560,8
561,19
562,18
563,7
564,5
565,-13
566,-19
567,-22
568,-23
569,-33
570,-40
571,-41
572,-37
573,-32
574,-20
575,-19
576,-26
577,-26
578,-26
579,-26
580,-24
581,-13
582,-9
583,-11
584,-12
585,-2
586,12
587,28
588,40
589,44
590,36
591,38
592,40
593,38
594,32
595,27
596,27
597,31
598,50
599,67
600,75
601,73
602,58
603,28
604,-6
605,-17
606,-29
607,-34
608,-54
609,-60
610,-57
611,-46
612,-29
613,-27
614,-33
615,-36
616,-37
617,-45
618,-50
619,-54
620,-66
621,-82
622,-91
623,-83
624,-67
625,-34
626,-3
627,22
628,37
629,44
630,50
631,45
632,46
633,48
634,54
635,58
636,68
637,79
638,78
639,90
640,102
641,115
642,113
643,110
644,88
645,58
646,29
647,13
648,-10
649,-45
650,-66
651,-74
652,-62
653,-26
654,13
655,51
656,71
657,87
658,94
659,97
660,104
661,104
662,89
663,46
664,10
665,-16
666,-25
667,-12
668,14
669,46
670,63
671,76
672,76
673,72
674,70
675,63
676,60
677,49
678,48
679,35
680,16
681,-8
682,-21
683,-31
684,-24
685,-10
686,7
687,17
688,22
689,21
690,15
691,12
692,2
693,-17
694,-54
695,-73
696,-77
697,-67
698,-52
699,-23
700,4
701,20
702,19
703,6
704,-17
705,-25
706,-40
707,-59
708,-91
709,-101
710,-101
711,-80
712,-68
713,-51
714,-40
715,-39
716,-18
717,3
718,10
719,6
720,-8
721,-28
722,-45
723,-46
724,-50
725,-46
726,-33
727,-2
728,27
729,34
730,32
731,26
732,23
733,16
734,11
735,-5
736,-9
737,-4
738,11
739,23
740,26
741,26
742,8
743,21
744,33
745,47
746,41
747,25
748,25
749,12
750,1
751,-13
752,-19
753,-3
754,16
755,53
756,65
757,68
758,61
759,42
760,20
761,14
762,-1
763,-22
764,-33
765,-15
766,33
767,55
768,67
769,57
770,42
771,23
772,13
773,-8
774,-25
775,-33
776,-30
777,-19
778,0
779,18
780,35
781,33
782,49
783,42
784,36
785,28
786,22
787,5
788,-25
789,-54
790,-76
791,-89
792,-83
793,-62
794,-36
795,-13
796,19
797,39
798,49
799,40
800,12
801,-10
802,-26
803,-25
804,-27
805,-31
806,-48
807,-54
808,-52
809,-24
810,25
811,74
812,94
813,82
814,52
815,12
816,-1
817,1
818,-1
819,-6
820,-11
821,-7
822,-7
823,8
824,17
825,34
826,40
827,45
828,52
829,52
830,53
831,46
832,25
833,-25
834,-57
835,-69
836,-44
837,-7
838,28
839,46
840,41
841,39
842,27
843,31
844,26
845,15
846,-10
847,-42
848,-58
849,-63
850,-71
851,-57
852,-42
853,-16
854,3
855,30
856,39
857,34
858,12
859,-1
860,-12
861,-25
862,-38
863,-57
864,-64
865,-49
866,-17
867,18
868,55
869,87
870,96
871,82
872,59
873,51
874,45
875,48
876,48
877,43
878,30
879,22
880,17
881,25
882,58
883,77
884,85
885,67
886,45
887,42
888,45
889,64
890,72
891,55
892,20
893,-14
894,-22
895,-15
896,-5
897,-4
898,-15
899,-37
900,-29
901,-18
902,-1
903,5
904,2
905,-10
906,-29
907,-35
908,-34
909,-26
910,-10
911,9
912,23
913,34
914,43
915,52
916,66
917,70
918,70
919,49
920,34
921,38
922,46
923,51
924,57
925,84
926,97
927,108
928,113
929,102
930,84
931,64
932,61
933,67
934,84
935,98
936,111
937,104
938,91
939,79
940,63
941,57
942,52
943,52
944,49
945,46
946,45
947,35
948,35
949,47
950,62
951,72
952,78
953,74
954,70
955,57
956,46
957,40
958,19
959,19
960,14
961,8
962,16
963,25
964,48
965,49
966,59
967,48
968,26
969,4
970,-14
971,-19
972,-25
973,-4
974,2
975,11
976,7
977,6
978,1
979,5
980,22
981,35
982,47
983,38
984,33
985,15
986,13
987,21
988,25
989,20
990,19
991,29
992,42
993,59
994,73
995,84
996,84
997,68
998,58
999,49
1000,56
1001,57
1002,51
1003,44
1004,47
1005,61
1006,58
1007,54
1008,42
1009,30
1010,14
1011,24
1012,41
1013,58
1014,61
1015,61
1016,43
1017,30
1018,23
1019,32
1020,44
1021,50
1022,49
1023,40
1024,21
1025,16
1026,3
1027,-12
1028,-15
1029,-13
1030,-10
1031,-10
1032,-4
1033,0
1034,0
1035,-4
1036,-6
