,40
0,48
1,35
2,5
3,-40
4,-54
5,-32
6,6
7,36
8,56
9,64
10,58
11,40
12,30
13,-1
14,-31
15,-55
16,-78
17,-79
18,-60
19,-27
20,6
21,29
22,47
23,51
24,40
25,15
26,4
27,-20
28,-36
29,-52
30,-69
31,-70
32,-64
33,-49
34,-38
35,-20
36,7
37,35
38,45
39,50
40,27
41,-8
42,-42
43,-61
44,-69
45,-83
46,-85
47,-62
48,-30
49,13
50,30
51,31
52,11
53,-14
54,-30
55,-41
56,-41
57,-35
58,-30
59,-32
60,-25
61,-8
62,8
63,30
64,40
65,26
66,-12
67,-44
68,-81
69,-97
70,-100
71,-86
72,-68
73,-57
74,-38
75,-22
76,-8
77,6
78,35
79,54
80,58
81,38
82,7
83,-26
84,-54
85,-64
86,-68
87,-66
88,-52
89,-42
90,-35
91,-38
92,-27
93,-13
94,17
95,57
96,66
97,32
98,-25
99,-83
100,-129
101,-135
102,-115
103,-91
104,-75
105,-65
106,-40
107,-11
108,25
109,66
110,92
111,89
112,66
113,39
114,24
115,39
116,47
117,45
118,20
119,20
120,5
121,6
122,18
123,35
124,47
125,53
126,60
127,68
128,62
129,44
130,30
131,29
132,25
133,0
134,-12
135,-19
136,-10
137,11
138,27
139,37
140,31
141,41
142,46
143,57
144,56
145,41
146,16
147,-7
148,-20
149,-26
150,-38
151,-46
152,-44
153,-40
154,-25
155,-3
156,18
157,38
158,46
159,49
160,36
161,17
162,-9
163,-41
164,-75
165,-98
166,-97
167,-86
168,-66
169,-42
170,-26
171,-26
172,-14
173,2
174,21
175,28
176,34
177,34
178,14
179,-1
180,-13
181,-36
182,-48
183,-54
184,-52
185,-53
186,-41
187,-28
188,-10
189,17
190,39
191,48
192,38
193,31
194,18
195,4
196,2
197,7
198,7
199,9
200,13
201,28
202,60
203,92
204,113
205,117
206,105
207,86
208,63
209,35
210,14
211,13
212,13
213,8
214,8
215,21
216,33
217,57
218,80
219,73
220,52
221,25
222,6
223,-9
224,-11
225,-14
226,-21
227,-32
228,-48
229,-59
230,-58
231,-49
232,-35
233,-21
234,-10
235,3
236,2
237,-21
238,-38
239,-33
240,-19
241,6
242,26
243,35
244,25
245,26
246,22
247,14
248,0
249,-14
250,-38
251,-76
252,-95
253,-101
254,-88
255,-64
256,-43
257,-32
258,-32
259,-27
260,-34
261,-33
262,-38
263,-24
264,-11
265,-11
266,-10
267,-24
268,-41
269,-54
270,-56
271,-52
272,-36
273,-12
274,5
275,10
276,7
277,1
278,-6
279,-7
280,7
281,25
282,24
283,9
284,-1
285,-11
286,-6
287,4
288,11
289,15
290,23
291,38
292,33
293,25
294,9
295,-21
296,-47
297,-63
298,-60
299,-57
300,-51
301,-36
302,-24
303,-14
304,5
305,16
306,22
307,16
308,-2
309,-28
310,-56
311,-76
312,-92
313,-97
314,-92
315,-77
316,-63
317,-57
318,-40
319,-28
320,-26
321,-21
322,-21
323,-18
324,-18
325,-12
326,-16
327,-15
328,-22
329,-30
330,-42
331,-40
332,-14
333,22
334,49
335,60
336,67
337,58
338,58
339,63
340,70
341,67
342,51
343,28
344,-3
345,-22
346,-18
347,-6
348,9
349,19
350,21
351,21
352,33
353,53
354,77
355,81
356,80
357,78
358,78
359,92
360,112
361,124
362,110
363,91
364,65
365,35
366,13
