,-24
0,-22
1,-17
2,-18
3,-19
4,-14
5,-4
6,-1
7,7
8,17
9,26
10,27
11,26
12,45
13,63
14,89
15,99
16,84
17,50
18,7
19,-9
20,-23
21,-1
22,15
23,27
24,28
25,51
26,85
27,119
28,134
29,145
30,135
31,133
32,130
33,104
34,62
35,18
36,0
37,-1
38,24
39,47
40,85
41,106
42,119
43,111
44,92
45,84
46,85
47,82
48,68
49,46
50,23
51,7
52,-2
53,6
54,8
55,17
56,30
57,48
58,40
59,37
60,28
61,23
62,22
63,9
64,-1
65,-13
66,-22
67,-10
68,6
69,30
70,42
71,56
72,52
73,52
74,53
75,39
76,20
77,-10
78,-42
79,-75
80,-83
81,-62
82,-48
83,-28
84,-22
85,-5
86,-14
87,-12
88,-15
89,-5
90,-1
91,15
92,10
93,-7
94,-26
95,-29
96,-23
97,-35
98,-40
99,-39
100,-40
101,-13
102,3
103,20
104,9
105,-16
106,-47
107,-61
108,-53
109,-49
110,-50
111,-36
112,-17
113,-2
114,-5
115,-32
116,-59
117,-77
118,-81
119,-57
120,-33
121,-14
122,-22
123,-17
124,-32
125,-33
126,-32
127,-27
128,-31
129,-30
130,-19
131,-19
132,-24
133,-29
134,-34
135,-30
136,-19
137,-7
138,7
139,11
140,25
141,29
142,28
143,29
144,42
145,35
146,41
147,33
148,31
149,25
150,33
151,38
152,39
153,45
154,42
155,42
156,39
157,28
158,17
159,12
160,1
161,-5
162,-8
163,-5
164,-12
165,-8
166,2
167,22
168,33
169,46
170,36
171,31
172,33
173,37
174,45
175,33
176,20
177,-1
178,-19
179,-30
180,-29
181,-33
182,-29
183,-28
184,-21
185,-14
186,1
187,2
188,-4
189,-1
190,10
191,2
192,-13
193,-43
194,-63
195,-74
196,-63
197,-35
198,-12
199,24
200,35
201,50
202,57
203,65
204,75
205,73
206,73
207,78
208,84
209,74
210,64
211,59
212,52
213,52
214,58
215,45
216,20
217,0
218,-22
219,-27
220,-13
221,16
222,53
223,79
224,97
225,102
226,84
227,66
228,47
229,29
230,0
231,-16
232,-26
233,-28
234,-30
235,-21
236,-19
237,-11
238,10
239,19
240,15
241,-6
242,-19
243,-30
244,-40
245,-66
246,-96
247,-119
248,-123
249,-111
250,-104
251,-86
252,-55
253,-35
254,-29
255,-33
256,-30
257,-41
258,-52
259,-56
260,-69
261,-78
262,-86
263,-93
264,-96
265,-81
266,-48
267,-24
268,-2
269,-3
270,-1
271,-21
272,-20
273,-23
274,-22
275,-38
276,-48
277,-61
278,-55
279,-53
280,-25
281,-5
282,19
283,45
284,50
285,35
286,7
287,-24
288,-59
289,-79
290,-61
291,-52
292,-18
293,-1
294,4
295,14
296,17
297,52
298,72
299,94
300,94
301,91
302,59
303,10
304,-32
305,-53
306,-41
307,-1
308,38
309,48
310,46
311,40
312,37
313,51
314,56
315,80
316,90
317,104
318,109
319,102
320,84
321,72
322,73
323,51
324,28
325,7
326,-10
327,-25
328,-39
329,-35
330,-22
331,11
332,52
333,86
334,102
335,101
336,77
337,52
338,27
339,20
340,5
341,-6
342,-21
343,-42
344,-59
345,-68
346,-59
347,-41
348,-19
349,18
350,37
351,40
352,32
353,27
354,10
355,-11
356,-35
357,-64
358,-81
359,-90
360,-71
361,-48
362,-28
363,-14
364,-6
365,-2
366,11
367,17
368,14
369,14
370,7
371,3
372,-2
373,-15
374,-18
375,-28
376,-27
377,-12
378,-10
379,-12
380,-27
381,-33
382,-59
383,-77
384,-63
385,-30
386,-1
387,6
388,9
389,7
390,-12
391,-18
392,-35
393,-52
394,-69
395,-86
396,-100
397,-103
398,-97
399,-77
400,-60
401,-21
402,15
403,37
404,46
405,32
406,7
407,-28
408,-52
409,-71
410,-73
411,-67
412,-42
413,-13
414,9
415,35
416,37
417,54
418,69
419,92
420,96
421,86
422,77
423,63
424,42
425,13
426,-15
427,-32
428,-20
429,9
430,41
431,46
432,36
433,16
434,2
435,-13
436,-9
437,-11
438,-33
439,-64
440,-68
441,-49
442,-12
443,16
444,24
445,13
446,8
447,14
448,18
449,26
450,16
451,12
452,0
453,1
454,9
455,0
456,6
457,12
458,29
459,56
460,79
461,90
462,77
463,60
464,50
465,49
466,39
467,30
468,4
469,6
470,-12
471,-2
472,5
473,31
474,75
475,104
476,113
477,106
478,91
479,75
480,43
481,39
482,22
483,13
484,3
485,-3
486,12
487,31
488,50
489,52
490,44
491,40
492,52
493,52
494,58
495,49
496,20
497,-17
498,-38
499,-43
500,-43
501,-28
502,-5
503,19
504,48
505,74
506,91
507,83
508,68
509,59
510,42
511,24
512,-5
513,-25
514,-56
515,-51
516,-32
517,-18
518,-7
519,-8
520,-5
521,-6
522,5
523,21
524,26
525,31
526,39
527,46
528,46
529,48
530,48
531,54
532,46
533,54
534,43
535,38
536,18
537,-8
538,-27
539,-37
540,-8
541,11
542,41
543,43
544,41
545,36
546,33
547,41
548,35
549,17
550,15
551,22
552,30
553,33
554,12
555,-8
556,-24
557,-14
558,-3
559,-6
560,-9
561,-10
562,-16
563,5
564,2
565,10
566,1
567,-30
568,-32
569,-40
570,-30
571,-1
572,32
573,43
574,51
575,68
576,64
577,53
578,25
579,5
580,-24
581,-40
582,-41
583,-22
584,-4
585,34
586,55
587,61
588,65
589,37
590,6
591,-35
592,-59
593,-68
594,-71
595,-60
596,-41
597,-32
598,-25
599,-13
600,5
601,8
602,11
603,18
604,31
605,39
606,52
607,51
608,43
609,24
610,1
611,-2
612,0
613,-21
614,-42
615,-84
616,-83
617,-68
618,-63
619,-64
620,-54
621,-41
622,-41
623,-38
624,-45
625,-43
626,-33
627,-28
628,-22
629,-31
630,-34
631,-40
632,-32
633,-16
634,12
635,19
636,20
637,22
638,36
639,47
640,52
641,62
642,68
643,62
644,39
645,13
646,-26
647,-37
648,-48
649,-50
650,-71
651,-74
652,-78
653,-72
654,-64
655,-50
656,-42
657,-25
658,5
659,32
660,31
661,27
662,29
663,43
664,48
665,33
666,-10
667,-58
668,-73
669,-54
670,-61
671,-59
672,-56
673,-31
674,-15
675,-9
676,1
677,19
678,39
679,53
680,37
681,4
682,-30
683,-60
684,-75
685,-74
686,-76
687,-82
688,-99
689,-105
690,-85
691,-69
692,-36
693,0
694,40
695,55
696,71
697,53
698,44
699,21
700,-3
701,-21
702,-31
703,-17
704,-27
705,-28
706,-44
707,-27
708,2
709,19
710,26
711,17
712,6
713,-10
714,-21
715,-31
716,-44
717,-52
718,-68
719,-85
720,-92
721,-66
722,-37
723,7
724,51
725,70
726,73
727,56
728,30
729,-1
730,-30
731,-42
732,-62
733,-79
734,-94
735,-78
736,-52
737,-6
738,34
739,43
740,44
741,31
742,38
743,36
744,38
745,41
746,32
747,14
748,-9
749,-21
750,-34
751,-23
752,1
753,28
754,47
755,49
756,38
757,15
758,-1
759,8
760,3
761,2
762,-8
763,-18
764,-31
765,-41
766,-37
767,-18
768,7
769,33
770,48
771,44
772,39
773,46
774,57
775,72
776,88
777,86
778,77
779,70
780,69
781,76
782,83
783,92
784,72
785,46
786,4
787,-17
788,-41
789,-44
790,-20
791,7
792,28
793,43
794,52
795,47
796,55
797,62
798,59
799,55
800,45
801,47
802,44
803,38
804,28
805,9
806,-24
807,-46
808,-53
809,-53
810,-45
811,-29
812,-3
813,19
814,39
815,53
816,41
817,27
818,-3
819,-35
820,-64
821,-92
822,-111
823,-138
824,-144
825,-132
826,-114
827,-93
828,-69
829,-36
830,-15
831,-9
832,-14
833,-18
834,-31
835,-38
836,-47
837,-60
838,-54
839,-45
840,-41
841,-54
842,-66
843,-67
844,-68
845,-60
846,-40
847,-23
848,-16
849,-3
850,-3
851,5
852,15
853,41
854,48
855,52
856,42
857,29
858,11
859,-7
860,-7
861,-16
862,-28
863,-32
864,-38
865,-36
866,-21
867,0
868,12
869,34
870,45
871,37
872,4
873,-30
874,-52
875,-86
876,-106
877,-125
878,-119
879,-115
880,-97
881,-81
882,-64
883,-32
884,4
885,20
886,18
887,17
888,19
889,17
890,25
891,36
892,48
893,48
894,38
895,31
896,25
897,39
898,63
899,75
900,81
901,93
902,80
903,89
904,90
905,111
906,110
907,96
908,84
909,74
910,71
911,65
912,59
913,49
914,39
915,47
916,52
917,48
918,43
919,28
920,36
921,55
922,86
923,94
924,86
925,60
926,50
927,46
928,41
929,45
930,29
931,21
932,17
933,40
934,42
935,41
936,32
937,20
938,25
939,45
940,73
941,79
942,69
943,43
944,9
945,-2
946,-15
947,-6
948,-20
949,-33
950,-37
951,-31
952,-8
953,20
954,50
955,46
956,46
957,32
958,28
959,10
960,-16
961,-47
962,-62
963,-76
964,-69
965,-59
966,-42
967,-12
968,-1
969,-1
970,-16
971,-14
972,-9
973,1
974,-8
975,-23
976,-33
977,-18
978,4
979,-3
980,-25
981,-44
982,-52
983,-63
984,-66
985,-57
986,-37
987,-18
988,8
989,6
990,4
991,-6
992,-6
993,-11
994,-5
995,0
996,22
997,36
998,46
999,55
1000,47
1001,32
1002,11
1003,-4
1004,-12
1005,-5
1006,29
1007,57
1008,66
1009,88
1010,82
1011,89
1012,86
1013,94
1014,78
