,80
0,55
1,15
2,28
3,27
4,19
5,16
6,4
7,1
8,-3
9,-22
10,-55
11,-64
12,-33
13,0
14,29
15,74
16,81
17,27
18,-33
19,-100
20,-114
21,-102
22,-78
23,-60
24,-51
25,-38
26,-32
27,3
28,52
29,77
30,58
31,27
32,10
33,7
34,17
35,9
36,20
37,41
38,42
39,55
40,62
41,57
42,46
43,12
44,-25
45,-45
46,-36
47,3
48,38
49,82
50,113
51,98
52,53
53,-1
54,-58
55,-104
56,-126
57,-104
58,-50
59,4
60,53
61,100
62,115
63,102
64,78
65,42
66,-14
67,-83
68,-100
69,-103
70,-89
71,-23
72,21
73,46
74,61
75,60
76,30
77,2
78,-18
79,-29
80,-28
81,-13
82,5
83,1
84,-7
85,9
86,15
87,-17
88,-44
89,-63
90,-61
91,-55
92,-41
93,-7
94,25
95,29
96,17
97,-9
98,-31
99,-49
100,-54
101,-38
102,5
103,10
104,-2
105,-17
106,-25
107,-34
108,-37
109,-23
110,-2
111,-10
112,-32
113,-45
114,-56
115,-69
116,-49
117,7
118,61
119,73
120,58
121,19
122,-38
123,-60
124,-55
125,-40
126,-15
127,22
128,46
129,60
130,76
131,41
132,-25
133,-78
134,-98
135,-114
136,-66
137,-17
138,16
139,45
140,108
141,182
142,183
143,139
144,72
145,25
146,-2
147,11
148,25
149,20
150,19
151,11
152,-13
153,-46
154,-71
155,-89
156,-74
157,-38
158,3
159,26
160,13
161,13
162,-5
163,-4
164,-9
165,-13
166,3
167,2
168,15
169,48
170,70
171,68
172,55
173,68
174,89
175,108
176,98
177,55
178,0
179,-53
180,-73
181,-77
182,-71
183,-47
184,-5
185,63
186,118
187,151
188,126
189,71
190,29
191,10
192,0
193,-11
194,-26
195,-20
196,-11
197,-14
198,-12
199,-16
200,-22
201,-18
202,-15
203,-8
204,18
205,26
206,-3
207,-26
208,-23
209,-19
210,-17
211,-7
212,-1
213,6
214,3
215,-15
216,-44
217,-49
218,-44
219,-33
220,-19
221,-3
222,8
223,-4
224,-36
225,-52
226,-54
227,-59
228,-51
229,-38
230,-28
231,-20
232,-5
233,2
234,-17
235,-46
236,-71
237,-88
238,-83
239,-62
240,-22
241,47
242,130
243,183
244,203
245,168
246,70
247,-38
248,-87
249,-67
250,-14
251,27
252,44
253,78
254,110
255,119
256,81
257,21
258,-56
259,-123
260,-140
261,-132
262,-109
263,-72
264,-42
265,5
266,44
267,58
268,21
269,-25
270,-55
271,-68
272,-74
273,-55
274,-15
275,19
276,44
277,51
278,39
279,7
280,-17
281,-32
282,-43
283,-47
284,-52
285,-53
286,-53
287,-25
288,12
289,13
