,-148
0,-155
1,-156
2,-156
3,-150
4,-147
5,-141
6,-135
7,-131
8,-124
9,-114
10,-100
11,-80
12,-51
13,-21
14,2
15,22
16,37
17,49
18,53
19,50
20,46
21,38
22,27
23,21
24,19
25,18
26,21
27,22
28,22
29,24
30,13
31,-1
32,-16
33,-30
34,-32
35,-46
36,-51
37,-56
38,-53
39,-47
40,-45
41,-42
42,-49
43,-59
44,-66
45,-79
46,-95
47,-105
48,-114
49,-120
50,-119
51,-111
52,-103
53,-96
54,-84
55,-68
56,-60
57,-54
58,-55
59,-53
60,-47
61,-40
62,-29
63,-25
64,-17
65,-11
66,-13
67,-17
68,-21
69,-21
70,-23
71,-15
72,-16
73,-8
74,-10
75,-13
76,-15
77,-14
78,-7
79,-1
80,4
81,14
82,25
83,41
84,52
85,65
86,76
87,79
88,74
89,60
90,50
91,44
92,40
93,34
94,28
95,22
96,21
97,20
98,10
99,18
100,26
101,42
102,58
103,75
104,83
105,81
106,69
107,55
108,43
109,40
110,37
111,39
112,30
113,26
114,22
115,14
116,9
117,13
118,14
119,19
120,27
121,49
122,76
123,111
124,133
125,139
126,127
127,106
128,69
129,36
130,8
131,2
132,4
133,5
134,8
135,7
136,9
137,14
138,26
139,29
140,24
141,23
142,18
143,18
144,14
145,13
146,14
147,16
148,24
149,27
150,26
151,27
152,24
153,21
154,13
155,18
156,27
157,33
158,35
159,29
160,29
161,20
162,19
163,26
164,42
165,58
166,77
167,89
168,100
169,109
170,116
171,121
172,120
173,122
174,122
175,117
176,117
177,114
178,110
179,105
180,97
181,89
182,75
183,62
184,63
185,57
186,61
187,71
188,74
189,71
190,47
191,39
192,51
193,85
194,129
195,155
196,144
197,83
198,19
199,-31
200,-26
201,-11
202,-2
203,-12
204,-15
205,-22
206,-24
207,-29
208,-28
209,-22
210,-15
211,5
212,23
213,37
214,39
215,37
216,29
217,24
218,26
219,26
220,26
221,30
222,26
223,18
224,4
225,-4
226,-5
227,-1
228,11
229,38
230,63
231,79
232,86
233,84
234,73
235,53
236,39
237,33
238,45
239,52
240,64
241,65
242,69
243,68
244,71
245,69
246,67
247,55
248,21
249,-10
250,-39
251,-58
252,-60
253,-56
254,-57
255,-70
256,-88
257,-98
258,-108
259,-117
260,-124
261,-124
262,-114
263,-89
264,-60
265,-39
266,-16
267,8
268,23
269,38
270,43
271,50
272,53
273,55
274,56
275,58
276,56
277,56
278,51
279,41
280,32
281,24
282,16
283,1
284,-11
285,-14
286,-20
287,-19
288,-20
289,-21
290,-18
291,-12
292,-2
293,3
294,8
295,10
296,3
297,-10
298,-28
299,-47
300,-65
301,-82
302,-87
303,-88
304,-82
305,-68
306,-51
307,-36
308,-19
309,0
310,14
311,29
312,42
313,53
314,54
315,46
316,41
317,29
318,21
319,22
320,25
321,35
322,39
323,41
324,46
325,62
326,75
327,77
328,67
329,53
330,45
331,35
332,29
333,22
334,17
335,17
336,16
337,16
338,18
339,22
340,31
341,42
342,53
343,61
344,64
345,66
346,71
347,79
348,84
349,83
350,78
351,69
352,55
353,42
354,37
355,36
356,38
357,30
358,24
359,7
360,1
361,-3
362,-9
363,-24
364,-38
365,-32
366,-7
367,49
368,61
369,30
370,-36
371,-81
372,-89
373,-88
374,-93
375,-114
376,-134
