,1
0,5
1,7
2,1
3,9
4,6
5,13
6,20
7,29
8,29
9,31
10,32
11,38
12,33
13,33
14,26
15,19
16,10
17,7
18,7
19,10
20,14
21,18
22,11
23,6
24,-4
25,-9
26,-9
27,-16
28,-20
29,-26
30,-28
31,-22
32,-22
33,-25
34,-29
35,-32
36,-34
37,-35
38,-26
39,-22
40,-16
41,-28
42,-27
43,-31
44,-30
45,-32
46,-29
47,-32
48,-35
49,-25
50,-23
51,-20
52,-15
53,-15
54,-17
55,-19
56,-21
57,-23
58,-16
59,-15
60,-18
61,-25
62,-20
63,-23
64,-24
65,-27
66,-27
67,-32
68,-42
69,-42
70,-39
71,-36
72,-26
73,-16
74,-14
75,-12
76,-20
77,-26
78,-36
79,-45
80,-44
81,-28
82,-21
83,-10
84,-6
85,-6
86,-8
87,-10
88,-11
89,-20
90,-22
91,-29
92,-25
93,-27
94,-27
95,-31
96,-35
97,-24
98,-19
99,-10
100,-10
101,-4
102,-1
103,0
104,0
105,-10
106,-28
107,-30
108,-30
109,-14
110,-9
111,-3
112,6
113,3
114,6
115,4
116,0
117,2
118,8
119,10
120,7
121,10
122,15
123,17
124,23
125,18
126,18
127,5
128,9
129,16
130,14
131,17
132,18
133,22
134,20
135,20
136,22
137,22
138,32
139,27
140,25
141,30
142,35
143,43
144,42
145,45
146,45
147,46
148,36
149,22
150,7
151,0
152,1
153,14
154,15
155,15
156,10
157,14
158,19
159,25
160,27
161,27
162,22
163,19
164,13
165,0
166,12
167,16
168,12
169,6
170,4
171,-2
172,-6
173,-7
174,-5
175,-7
176,-9
177,-9
178,-14
179,-16
180,-16
181,-16
182,-15
183,-15
184,-22
185,-30
186,-29
187,-27
188,-20
189,-15
190,-16
191,-20
192,-17
193,-21
194,-15
195,-16
196,-14
197,-8
198,-3
199,4
200,14
201,13
202,10
203,15
204,-1
205,3
206,-5
207,-2
208,4
209,9
210,4
211,12
212,8
213,15
214,19
215,25
216,26
217,28
218,37
219,39
220,43
221,41
222,45
223,49
224,48
225,49
226,46
227,47
228,37
229,35
230,27
231,26
232,24
233,28
234,34
235,33
236,40
237,33
238,33
239,33
240,40
241,41
242,48
243,40
244,45
245,34
246,32
247,28
248,26
249,22
250,20
251,22
252,16
253,9
254,9
255,7
256,13
257,1
258,4
259,9
260,18
261,26
262,31
263,30
264,30
265,27
266,26
267,24
268,25
269,17
270,6
271,1
272,-2
273,-4
274,-2
275,3
276,5
277,9
278,24
279,22
280,18
281,11
282,3
283,0
284,0
285,-2
286,-2
287,9
288,18
289,17
290,17
291,13
292,17
293,21
294,30
295,29
296,33
297,33
298,37
299,43
300,49
301,53
302,53
303,52
304,52
305,47
306,41
307,34
308,31
309,19
310,9
311,-1
312,-8
313,-22
314,-27
315,-33
316,-38
317,-32
318,-38
319,-34
