,-24
0,-27
1,-23
2,-28
3,-34
4,-40
5,-47
6,-43
7,-38
8,-23
9,-1
10,7
11,18
12,7
13,11
14,-1
15,-18
16,-22
17,-21
18,-2
19,15
20,35
21,34
22,40
23,47
24,41
25,31
26,11
27,2
28,-5
29,-13
30,-28
31,-40
32,-48
33,-57
34,-56
35,-60
36,-57
37,-48
38,-49
39,-46
40,-42
41,-27
42,-21
43,-17
44,-8
45,-11
46,-14
47,-15
48,-17
49,-6
50,1
51,2
52,3
53,-15
54,-37
55,-40
56,-60
57,-57
58,-58
59,-55
60,-69
61,-63
62,-68
63,-61
64,-52
65,-49
66,-35
67,-38
68,-36
69,-43
70,-36
71,-32
72,-27
73,-37
74,-37
75,-68
76,-75
77,-88
78,-100
79,-101
80,-101
81,-99
82,-78
83,-63
84,-38
85,-21
86,-23
87,-11
88,-14
89,-6
90,-1
91,-10
92,-28
93,-44
94,-44
95,-49
96,-48
97,-48
98,-52
99,-50
100,-52
101,-44
102,-46
103,-37
104,-9
105,15
106,24
107,26
108,24
109,15
110,13
111,5
112,-13
113,-14
114,-21
115,-3
116,8
117,9
118,11
119,9
120,12
121,4
122,-7
123,-27
124,-33
125,-25
126,-18
127,-19
128,-11
129,-12
130,-12
131,-12
132,-2
133,7
134,25
135,39
136,34
137,15
138,-4
139,-11
140,-12
141,-18
142,-15
143,-25
144,-24
145,-11
146,8
147,22
148,36
149,59
150,73
151,80
152,60
153,40
154,10
155,0
156,-7
157,-16
158,-19
159,-25
160,-22
161,-34
162,-44
163,-74
164,-86
165,-103
166,-108
167,-92
168,-81
169,-51
170,-38
171,-11
172,-12
173,4
174,5
175,-4
176,-3
177,-8
178,-6
179,-5
180,0
181,22
182,25
183,23
184,9
185,-4
186,-22
187,-25
188,-38
189,-41
190,-36
191,-25
192,-25
193,-38
194,-35
195,-38
196,-36
197,-29
198,-36
199,-47
200,-67
201,-79
202,-71
203,-73
204,-57
205,-38
206,-20
207,-16
208,-14
209,-27
210,-26
211,-30
212,-33
213,-51
214,-62
215,-65
216,-69
217,-53
218,-39
219,-11
220,-6
221,2
222,8
223,20
224,11
225,0
226,-10
227,-23
228,-33
229,-30
230,-41
231,-38
232,-53
233,-50
234,-51
235,-45
236,-30
237,-31
238,-32
239,-26
240,-18
241,-18
242,-10
243,-11
244,-11
245,-1
246,4
247,0
248,-15
249,-29
250,-32
251,-31
252,-43
253,-51
254,-68
255,-72
256,-61
257,-45
258,-41
259,-46
260,-41
261,-31
262,-33
263,-38
264,-50
265,-62
266,-72
267,-53
268,-49
269,-41
270,-51
271,-64
272,-71
273,-79
274,-70
275,-56
276,-37
277,-36
278,-37
279,-52
280,-57
281,-56
282,-63
283,-79
284,-80
285,-60
286,-58
287,-54
288,-66
289,-83
290,-106
291,-120
292,-121
293,-109
294,-98
295,-92
296,-82
297,-85
298,-72
299,-56
300,-52
301,-53
302,-48
303,-42
304,-36
305,-26
306,-31
307,-28
308,-27
309,-15
310,-19
311,-27
312,-29
313,-26
314,-30
315,-36
316,-52
317,-62
318,-69
319,-58
320,-53
321,-63
322,-71
323,-60
324,-43
325,-30
326,-26
327,-29
328,-36
329,-38
330,-43
331,-51
332,-48
333,-31
334,-19
335,-18
336,-18
337,-12
338,-21
339,-15
340,-19
341,-24
342,-25
343,-27
344,-16
345,-14
346,-13
347,-11
348,-22
349,-29
350,-36
351,-40
352,-51
353,-65
354,-54
355,-39
356,-34
357,-28
358,-26
359,-23
360,-25
361,-24
362,-34
363,-44
364,-53
365,-52
366,-61
367,-41
368,-41
369,-27
370,-31
371,-31
372,-17
373,-8
374,4
375,16
376,15
377,21
378,25
379,25
380,5
381,1
382,3
383,12
384,24
385,35
386,29
387,12
388,-9
389,-14
390,-13
391,-9
392,-6
393,0
394,-7
395,-10
396,-3
397,-15
398,-10
399,-18
400,-20
401,-31
402,-27
403,-19
404,-35
405,-33
406,-38
407,-28
408,-34
409,-46
410,-60
411,-79
412,-72
413,-58
414,-40
415,-36
416,-38
417,-48
418,-44
419,-48
420,-43
421,-39
422,-55
423,-70
424,-80
425,-89
426,-78
427,-69
428,-69
429,-62
430,-56
431,-54
432,-56
433,-56
434,-61
435,-62
436,-85
437,-90
438,-90
439,-99
440,-103
441,-113
442,-119
443,-115
444,-95
445,-98
446,-94
447,-93
448,-93
449,-81
450,-80
451,-77
452,-78
453,-80
454,-75
455,-60
456,-63
457,-69
458,-66
459,-69
460,-69
461,-85
462,-92
463,-117
464,-116
465,-111
466,-101
467,-87
468,-89
469,-73
470,-67
471,-61
472,-65
473,-71
474,-78
475,-82
476,-56
477,-56
478,-45
479,-22
480,-15
481,-9
482,-14
483,-25
484,-34
485,-29
486,-29
487,-24
488,-38
489,-32
490,-38
491,-33
492,-23
493,-6
494,3
495,-6
496,-1
497,-8
498,-6
499,-14
500,-15
501,-11
502,-10
503,-3
504,-10
505,-22
506,-30
507,-28
508,-27
509,-16
510,2
511,8
512,15
513,8
514,4
515,1
516,-3
517,11
518,26
519,40
520,34
521,26
522,7
523,-17
524,-31
525,-43
526,-48
527,-31
528,-28
529,-12
530,-5
531,8
532,12
533,9
534,1
535,3
536,1
537,-6
538,5
539,3
540,3
541,6
542,8
543,17
544,18
545,12
546,1
547,-15
548,-8
549,-8
550,4
551,12
552,20
553,29
554,29
555,22
556,14
557,2
558,1
559,12
560,27
561,4
562,-2
563,-14
564,-26
565,-18
566,-15
567,-5
568,-12
569,-11
570,-25
571,-19
572,-16
573,-9
574,-5
575,-2
576,-1
577,-5
578,-2
579,13
580,13
581,1
582,4
583,16
584,40
585,28
586,11
587,2
588,-3
589,-6
590,-6
591,-6
592,7
593,28
594,39
595,52
596,44
597,47
598,49
599,48
600,48
601,31
602,16
603,4
604,13
605,18
606,2
607,-13
608,-35
609,-61
610,-64
611,-70
612,-62
613,-57
614,-49
615,-32
616,-25
617,-12
618,-16
619,-12
620,-19
621,-10
622,-12
623,-27
624,-35
625,-39
626,-36
627,-47
628,-47
629,-54
630,-71
631,-79
632,-85
633,-72
634,-59
635,-37
636,-16
637,-23
638,-30
639,-37
640,-52
641,-45
642,-33
643,-31
644,-28
645,-33
646,-41
647,-58
648,-61
649,-64
650,-55
651,-51
652,-46
653,-31
654,-44
655,-45
656,-43
657,-37
658,-36
659,-26
660,-14
661,-18
662,-5
663,-5
664,10
665,14
666,5
667,-3
668,-24
669,-35
670,-38
671,-31
672,-38
673,-33
674,-36
675,-34
676,-43
677,-47
678,-52
679,-52
680,-48
681,-49
682,-47
683,-29
684,-9
685,-7
686,-20
687,-22
688,-22
689,-26
690,-14
691,-19
692,-7
693,-6
694,-3
695,2
696,-12
697,-8
698,-6
699,-4
700,-14
701,-34
702,-61
703,-85
704,-98
705,-88
706,-85
707,-77
708,-76
709,-69
710,-64
711,-62
712,-57
713,-60
714,-55
715,-34
716,-32
717,-30
718,-38
719,-37
720,-32
721,-41
722,-53
723,-64
724,-62
725,-46
726,-30
727,-34
728,-39
729,-28
730,-15
731,-16
732,-27
733,-54
734,-68
735,-68
736,-55
737,-46
738,-52
739,-62
740,-56
741,-49
742,-33
743,-29
744,-21
745,-25
746,-10
747,-23
748,-41
749,-55
750,-50
751,-35
752,-24
753,-31
754,-50
755,-64
756,-73
757,-58
758,-51
759,-46
760,-46
761,-39
762,-18
763,-2
764,17
765,10
766,4
767,5
768,6
769,6
770,2
771,8
772,14
773,24
774,30
775,20
776,-9
777,-27
778,-28
779,-38
780,-42
781,-42
782,-56
783,-57
784,-67
785,-52
