,75
0,72
1,72
2,80
3,81
4,95
5,112
6,113
7,114
8,115
9,104
10,93
11,78
12,74
13,73
14,60
15,72
16,85
17,91
18,80
19,69
20,51
21,26
22,18
23,17
24,26
25,35
26,30
27,21
28,11
29,-1
30,9
31,24
32,58
33,90
34,116
35,109
36,109
37,112
38,124
39,126
40,98
41,47
42,7
43,0
44,3
45,5
46,-7
47,-7
48,3
49,-15
50,-33
51,-56
52,-92
53,-104
54,-99
55,-103
56,-101
57,-103
58,-83
59,-36
60,-5
61,20
62,41
63,67
64,88
65,83
66,76
67,82
68,122
69,136
70,141
71,126
72,120
73,118
74,117
75,133
76,147
77,158
78,160
79,141
80,114
81,102
82,106
83,100
84,82
85,72
86,78
87,73
88,76
89,78
90,77
91,97
92,95
93,103
94,69
95,69
96,33
97,30
98,21
99,47
100,68
101,84
102,101
103,114
104,126
105,126
106,130
107,122
108,114
109,103
110,80
111,38
112,14
113,4
114,-5
115,-8
116,2
117,9
118,11
119,9
120,24
121,24
122,46
123,45
124,24
125,-22
126,-56
127,-75
128,-34
129,-36
130,-29
131,-38
132,-20
133,-1
134,8
135,7
136,-14
137,-28
138,-40
139,-55
140,-83
141,-78
142,-63
143,-55
144,-50
145,-69
146,-75
147,-80
148,-70
149,-60
150,-35
151,-30
152,-29
153,-35
154,-59
155,-68
156,-65
157,-39
158,-4
159,36
160,52
161,36
162,44
163,52
164,67
165,75
166,56
167,22
168,-4
169,-4
170,-6
171,-9
172,-10
173,0
174,7
175,30
176,35
177,39
178,49
179,76
180,120
181,124
182,124
183,113
184,117
185,112
186,99
187,99
188,72
189,77
190,83
191,104
192,120
193,147
194,174
195,178
196,169
197,134
198,117
199,97
200,91
201,108
202,105
203,110
204,104
205,98
206,82
207,84
208,91
209,103
210,108
211,94
212,82
213,68
214,86
215,110
216,123
217,144
218,145
219,139
220,128
221,136
222,127
223,136
224,134
225,149
226,172
227,171
228,191
229,224
230,265
231,281
232,259
233,194
234,134
235,105
236,94
237,88
238,76
239,62
240,43
241,42
242,35
243,47
244,59
245,91
246,137
247,155
248,154
249,134
250,105
251,83
252,50
253,15
254,17
255,8
256,10
257,0
258,-29
259,-32
260,-32
261,-54
262,-66
263,-73
264,-54
265,-36
266,18
267,57
268,107
269,136
270,148
271,133
272,80
273,24
274,-10
275,-28
276,-32
277,-38
278,-72
279,-114
280,-121
281,-116
282,-101
283,-100
284,-82
285,-68
286,-59
287,-53
288,-64
289,-48
290,-23
291,2
292,14
293,12
294,32
295,53
296,62
297,53
298,43
299,46
300,52
301,69
302,81
303,100
304,129
305,151
306,162
307,163
308,161
309,164
310,162
311,168
312,197
313,199
314,191
315,168
316,138
317,121
318,120
319,140
320,153
321,166
322,161
323,147
324,112
325,84
326,60
327,38
328,24
329,15
330,11
331,-1
332,-14
333,-22
334,-37
335,-37
336,-30
337,-38
338,-56
339,-53
340,-48
341,-34
342,-9
343,7
344,23
345,16
346,18
347,19
348,6
349,1
350,-14
351,-19
352,-22
353,-1
354,18
355,27
356,13
357,-22
358,-62
359,-81
360,-90
361,-121
362,-138
363,-147
364,-126
365,-112
366,-120
367,-122
368,-119
369,-130
370,-141
371,-146
372,-156
373,-137
374,-110
375,-88
376,-70
377,-62
378,-24
379,9
380,62
381,101
382,115
383,114
384,105
385,101
386,114
387,121
388,114
389,102
390,84
391,86
392,102
393,116
394,107
395,85
396,77
397,61
