,475
0,501
1,477
2,403
3,303
4,186
5,87
6,43
7,79
8,181
9,257
10,336
11,377
12,437
13,544
14,614
15,409
16,-112
17,-659
18,-895
19,-656
20,-281
21,-42
22,-43
23,-30
24,1
25,73
26,165
27,234
28,246
29,198
30,102
31,10
32,-72
33,-148
34,-212
35,-249
36,-277
37,-248
38,-227
39,-183
40,-162
41,-148
42,-133
43,-121
44,-113
45,-99
46,-64
47,2
48,101
49,305
50,659
51,1025
52,1219
53,1229
54,570
55,-20
56,-699
57,-932
58,-777
59,-585
60,-423
61,-339
62,-296
63,-252
64,-198
65,-128
66,-64
67,26
68,162
69,319
70,413
71,410
72,318
73,285
74,304
75,350
76,429
77,502
78,382
79,71
80,-241
81,-458
82,-409
83,-300
84,-226
85,-264
86,-254
87,-255
88,-217
89,-128
90,-38
91,70
92,197
93,345
94,439
95,458
96,380
97,279
98,214
99,185
100,174
101,171
102,189
103,229
104,293
105,382
106,536
107,710
108,710
109,785
110,764
111,325
112,-369
113,-950
114,-1257
115,-1030
116,-695
117,-481
118,-406
119,-348
120,-268
121,-118
122,66
123,309
124,506
125,600
126,555
127,403
128,260
129,146
130,62
131,22
132,-1
133,-12
134,-32
135,-57
136,-87
137,-134
138,-198
139,-267
140,-329
141,-371
142,-406
143,-433
144,-445
145,-423
146,-381
147,-320
148,-225
149,-54
150,330
151,735
152,1060
153,1092
154,683
155,71
156,-544
157,-801
158,-679
159,-353
160,-51
161,150
162,254
163,250
164,194
165,122
166,50
167,-29
168,-108
169,-176
170,-218
171,-219
172,-144
173,-5
174,226
175,154
176,-142
177,-494
178,-610
179,-387
180,-39
181,151
182,208
183,170
184,92
185,13
186,-97
187,-185
188,-202
189,-132
190,-1
191,94
192,158
193,202
194,195
195,145
196,47
197,-51
198,-116
199,-165
200,-189
201,-204
202,-203
203,-203
204,-184
205,-163
206,-135
207,-106
208,-68
209,15
210,174
211,530
212,879
213,1131
214,1160
215,1091
216,1006
217,779
218,112
219,-514
220,-907
221,-722
222,-141
223,325
224,607
225,589
226,419
227,280
228,206
229,197
230,250
231,250
232,199
233,67
234,-58
235,-138
236,-173
237,-176
238,-171
239,-156
240,-144
241,-145
242,-146
243,-143
244,-137
245,-114
246,-77
247,-29
248,29
249,89
250,149
251,208
252,269
253,339
254,465
255,683
256,940
257,1130
258,1169
259,1037
260,829
261,228
262,-472
263,-999
264,-1144
265,-833
266,-477
267,-308
268,-299
269,-425
270,-496
271,-495
272,-446
273,-395
274,-378
275,-400
276,-449
277,-532
278,-608
279,-586
280,-451
281,-227
282,73
283,178
284,23
285,-412
286,-725
287,-752
288,-411
289,134
290,652
291,978
292,1002
293,764
294,408
295,23
296,-353
297,-564
298,-603
299,-474
300,-365
301,-137
302,-46
303,31
304,-155
305,-478
306,-785
307,-866
308,-671
309,-177
310,405
311,896
312,1044
313,867
314,492
315,68
316,-187
317,-177
318,57
319,312
320,492
321,499
322,390
323,246
324,77
325,-66
326,-142
327,-157
328,-123
329,-49
330,107
331,306
332,482
333,564
334,531
335,455
336,408
337,402
