,-300
0,-334
1,-341
2,-342
3,-306
4,-214
5,-22
6,194
7,352
8,416
9,383
10,329
11,284
12,231
13,192
14,213
15,293
16,369
17,413
18,375
19,294
20,193
21,86
22,16
23,-44
24,-112
25,-193
26,-267
27,-312
28,-333
29,-335
30,-332
31,-322
32,-314
33,-308
34,-313
35,-331
36,-348
37,-354
38,-344
39,-320
40,-301
41,-286
42,-278
43,-272
44,-269
45,-270
46,-271
47,-269
48,-262
49,-259
50,-248
51,-243
52,-237
53,-234
54,-233
55,-234
56,-238
57,-238
58,-233
59,-232
60,-228
61,-228
62,-227
63,-229
64,-226
65,-224
66,-220
67,-204
68,-168
69,-94
70,15
71,222
72,562
73,923
74,1197
75,1333
76,1348
77,1295
78,1194
79,1031
80,896
81,800
82,725
83,649
84,601
85,585
86,609
87,635
88,624
89,555
90,440
91,307
92,167
93,32
94,-81
95,-164
96,-207
97,-221
98,-237
99,-257
100,-290
101,-324
102,-360
103,-414
104,-474
105,-565
106,-633
107,-686
108,-705
109,-656
110,-566
111,-408
112,-172
113,201
114,536
115,681
116,560
117,270
118,19
119,-127
120,-182
121,-164
122,-9
123,164
124,310
125,346
126,295
127,197
128,90
129,-33
130,-157
131,-263
132,-337
133,-361
134,-344
135,-319
136,-294
137,-283
138,-290
139,-307
140,-330
141,-353
142,-375
143,-385
144,-373
145,-340
146,-278
147,-200
148,-80
149,103
150,305
151,430
152,431
153,330
154,236
155,196
156,189
157,197
158,208
159,210
160,174
161,116
162,24
163,-74
164,-74
165,-166
166,-239
167,-297
168,-332
169,-352
170,-364
171,-371
172,-371
173,-366
174,-361
175,-360
176,-357
177,-357
178,-360
179,-360
180,-354
181,-349
182,-348
183,-348
184,-350
185,-351
186,-352
187,-351
188,-353
189,-351
190,-346
191,-340
192,-333
193,-325
194,-311
195,-289
196,-250
197,-190
198,-95
199,37
200,318
201,640
202,901
203,1022
204,1005
205,962
206,898
207,790
208,637
209,508
210,439
211,407
212,398
213,406
214,444
215,472
216,457
217,390
218,283
219,177
220,84
221,19
222,-35
223,-84
224,-150
225,-214
226,-266
227,-285
228,-274
229,-263
230,-269
231,-287
232,-310
233,-323
234,-352
235,-395
236,-459
237,-545
238,-622
239,-674
240,-676
241,-629
242,-546
243,-434
244,-319
245,-163
246,93
247,341
248,487
249,463
250,327
251,206
252,197
253,272
254,384
255,457
256,439
257,359
258,257
259,170
260,95
261,18
262,-61
263,-131
264,-191
265,-205
266,-165
267,-48
268,128
269,312
270,437
271,452
272,364
273,206
274,40
275,-121
276,-244
277,-328
278,-367
279,-371
280,-361
281,-341
282,-317
283,-289
284,-256
285,-234
286,-218
287,-216
288,-217
289,-225
290,-232
291,-240
292,-246
293,-248
294,-224
295,-122
296,96
297,386
298,593
299,661
300,575
301,465
302,389
303,342
304,311
305,291
306,290
307,299
308,310
309,295
310,239
311,146
312,44
313,-51
314,-80
315,-64
316,-36
317,-7
318,4
319,-4
320,-19
321,-21
322,4
323,27
324,33
325,4
326,-55
327,-125
328,-191
329,-231
330,-246
331,-254
332,-262
333,-269
334,-277
335,-278
336,-284
337,-295
338,-307
339,-319
340,-324
341,-329
342,-331
343,-333
344,-334
345,-333
346,-330
347,-325
348,-315
349,-296
350,-256
351,-188
352,-101
353,27
354,270
355,555
356,795
357,910
358,907
359,899
360,905
361,863
362,713
363,532
364,388
365,300
366,255
367,247
368,267
369,295
370,350
371,372
372,361
373,274
374,123
375,-31
376,-156
377,-229
378,-264
379,-290
380,-315
381,-333
382,-340
383,-324
384,-304
385,-300
386,-312
387,-333
388,-352
389,-368
390,-405
391,-456
392,-526
393,-605
394,-666
395,-714
396,-712
397,-668
398,-592
399,-484
400,-374
401,-245
402,-1
403,264
404,465
405,518
406,404
407,273
408,219
409,247
410,338
411,453
412,524
413,509
414,392
415,244
416,108
417,19
418,-40
419,-73
420,-95
421,-105
422,-103
423,-63
424,11
425,91
426,155
427,169
428,156
429,126
430,88
431,54
432,23
433,-7
434,-37
435,-63
436,-70
437,-54
438,-19
439,24
440,98
441,182
442,262
443,282
444,234
445,137
446,62
447,24
448,7
449,-29
450,-93
451,-164
452,-235
453,-287
454,-319
455,-325
456,-319
457,-308
458,-293
459,-280
460,-271
461,-265
462,-270
463,-284
464,-302
465,-317
466,-329
467,-337
468,-341
469,-349
470,-358
471,-364
472,-368
473,-365
474,-360
475,-349
476,-339
477,-332
478,-324
479,-317
480,-313
481,-304
482,-295
483,-288
484,-284
485,-275
486,-265
487,-253
488,-241
489,-220
490,-189
491,-128
492,-32
493,111
494,390
495,709
496,966
497,1096
498,1118
499,1093
500,1041
501,924
502,754
503,618
504,523
505,477
506,463
507,459
508,482
509,516
510,533
511,521
512,452
513,356
514,264
515,188
516,141
517,131
518,145
519,196
520,256
521,294
522,256
523,144
524,-6
525,-138
526,-223
527,-291
528,-354
529,-429
530,-529
531,-606
532,-658
533,-647
534,-585
535,-500
536,-420
537,-370
538,-341
539,-304
540,-161
541,37
542,180
543,214
544,146
545,67
546,21
547,10
548,35
549,102
550,178
551,228
552,233
553,210
554,201
555,234
556,230
557,182
558,61
559,-97
560,-230
561,-317
562,-371
563,-383
564,-373
565,-356
566,-315
567,-291
568,-284
569,-293
570,-316
571,-316
572,-265
573,-128
574,94
575,346
576,490
577,496
578,378
579,247
580,135
581,47
582,-13
583,-38
584,-49
585,-35
586,21
587,108
588,202
589,254
590,270
591,244
592,190
593,93
594,-34
595,-167
596,-256
597,-305
598,-332
599,-340
600,-338
601,-342
602,-351
603,-382
604,-423
605,-471
606,-510
607,-555
608,-618
609,-664
610,-689
611,-631
612,-550
613,-452
614,-336
615,-125
616,134
617,352
618,435
619,380
620,263
621,193
622,185
623,186
624,209
625,236
626,289
627,353
628,426
629,448
630,376
631,237
632,58
633,-75
634,-151
635,-191
636,-222
637,-232
638,-220
639,-201
640,-179
641,-160
642,-152
643,-164
644,-201
645,-246
646,-274
647,-273
648,-264
649,-222
650,-88
651,149
652,431
653,603
654,626
655,503
656,369
657,249
658,171
659,126
660,111
661,128
662,179
663,245
664,304
665,324
666,334
667,324
668,272
669,168
670,21
671,-138
672,-257
673,-373
674,-465
675,-537
676,-579
677,-592
